"","forcedchoice","fox","msnbc","entertainment","med_pref","med_choice","actions_discuss","fair_4","friendly_4","good_4","quarrel_4","balanced_4","oneside_4","american_4","accurate_4","party1","party4"
"1",1,NA,NA,1,2,NA,7,4,4,4,4,4,4,4,4,1,NA
"2",0,NA,NA,NA,4,4,3,4,2,3,6,3,4,3,3,1,NA
"3",1,NA,1,NA,4,NA,2,4,3,3,4,3,4,3,4,1,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",0,NA,NA,NA,4,4,4,1,1,1,7,1,6,1,1,1,NA
"6",1,NA,NA,1,4,NA,3,4,3,3,4,4,4,4,4,4,3
"7",0,NA,NA,NA,4,4,4,2,3,2,6,2,6,1,1,3,2
"8",1,NA,1,NA,4,NA,7,4,7,4,1,4,4,7,4,2,NA
"9",0,NA,NA,NA,1,1,1,2,6,1,2,3,2,1,2,3,3
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",0,NA,NA,NA,3,1,2,1,4,1,5,1,5,1,1,2,NA
"12",1,NA,NA,1,2,NA,3,2,3,3,5,3,3,3,3,1,NA
"13",1,1,NA,NA,1,NA,1,5,3,5,5,5,2,2,3,1,NA
"14",0,NA,NA,NA,4,4,4,3,3,3,6,2,6,4,4,4,3
"15",0,NA,NA,NA,1,1,2,1,5,1,3,3,3,1,1,2,NA
"16",0,NA,NA,NA,1,1,3,3,5,3,3,5,3,2,3,3,3
"17",1,1,NA,NA,3,NA,4,4,4,4,4,4,4,1,3,2,NA
"18",0,NA,NA,NA,1,3,3,3,3,3,7,3,5,3,3,2,NA
"19",1,NA,NA,1,3,NA,4,3,3,3,7,3,5,4,4,1,NA
"20",0,NA,NA,NA,3,3,4,4,3,3,5,4,4,4,3,2,NA
"21",0,NA,NA,NA,4,4,2,2,1,3,5,3,4,1,2,2,NA
"22",1,1,NA,NA,2,NA,1,1,3,1,4,4,3,1,1,3,2
"23",1,NA,1,NA,1,NA,4,3,5,7,4,7,7,3,7,3,1
"24",0,NA,NA,NA,1,1,3,5,5,4,3,5,3,4,3,3,3
"25",1,NA,NA,1,1,NA,4,4,3,5,3,5,4,7,4,2,NA
"26",1,1,NA,NA,4,NA,3,3,5,1,3,4,3,1,1,3,3
"27",1,NA,1,NA,3,NA,4,4,4,4,4,5,4,4,4,1,NA
"28",0,NA,NA,NA,4,4,4,4,3,4,4,3,3,2,4,4,3
"29",0,NA,NA,NA,4,4,4,4,3,3,5,1,4,2,4,2,NA
"30",0,NA,NA,NA,2,2,3,2,3,2,5,3,5,3,2,1,NA
"31",0,NA,NA,NA,3,3,4,3,3,3,5,3,5,5,3,2,NA
"32",0,NA,NA,NA,3,3,4,4,1,2,4,4,4,4,1,3,1
"33",1,NA,1,NA,4,NA,4,5,5,5,3,5,3,5,5,3,3
"34",1,NA,1,NA,1,NA,4,5,7,6,6,6,6,5,5,3,3
"35",0,NA,NA,NA,2,1,2,5,3,2,3,3,4,1,4,1,NA
"36",1,1,NA,NA,3,NA,4,4,4,4,4,5,4,4,4,3,3
"37",1,NA,NA,1,1,NA,4,4,3,4,5,5,4,4,4,1,NA
"38",0,NA,NA,NA,2,2,3,1,1,2,5,1,5,2,1,3,3
"39",0,NA,NA,NA,4,4,1,1,2,3,6,3,2,2,2,1,NA
"40",1,NA,NA,1,1,NA,2,4,3,3,4,5,5,1,3,3,1
"41",0,NA,NA,NA,4,4,7,4,1,2,7,3,4,2,4,2,NA
"42",0,NA,NA,NA,2,2,3,4,3,3,4,3,5,3,3,1,NA
"43",1,1,NA,NA,4,NA,4,2,2,4,4,3,4,2,3,4,3
"44",0,NA,NA,NA,2,2,4,4,3,3,4,3,3,3,4,1,NA
"45",1,NA,1,NA,1,NA,2,1,1,1,1,1,1,1,1,4,3
"46",0,NA,NA,NA,4,4,4,2,3,5,2,5,2,5,3,3,1
"47",0,NA,NA,NA,4,4,1,4,3,3,5,3,5,3,3,3,2
"48",1,NA,1,NA,3,NA,4,3,4,4,3,3,5,2,3,1,NA
"49",1,1,NA,NA,2,NA,4,5,7,5,1,7,1,5,7,1,NA
"50",1,1,NA,NA,4,NA,3,3,5,2,3,5,3,3,3,3,3
"51",1,NA,NA,1,4,NA,4,3,3,3,4,3,4,6,3,4,3
"52",1,NA,NA,1,4,NA,3,4,4,2,4,4,4,4,3,3,1
"53",0,NA,NA,NA,1,1,4,4,3,3,3,4,5,2,4,1,NA
"54",1,NA,1,NA,3,NA,4,4,5,4,3,4,4,4,2,1,NA
"55",0,NA,NA,NA,1,1,3,4,3,3,5,5,4,5,3,1,NA
"56",0,NA,NA,NA,1,1,1,1,5,1,4,7,6,1,1,3,2
"57",0,NA,NA,NA,3,3,2,2,2,2,2,2,2,4,2,3,3
"58",1,1,NA,NA,1,NA,1,2,3,2,3,3,5,1,4,1,NA
"59",1,NA,NA,1,1,NA,3,5,5,3,5,3,3,3,3,3,2
"60",1,NA,NA,1,1,NA,3,6,4,4,2,3,4,5,4,2,NA
"61",0,NA,NA,NA,1,1,3,3,3,3,4,3,3,3,3,2,NA
"62",1,NA,1,NA,1,NA,3,4,4,4,4,4,4,4,4,3,3
"63",0,NA,NA,NA,1,1,2,2,3,2,5,3,4,1,1,2,NA
"64",1,NA,1,NA,4,NA,3,5,5,5,3,4,3,4,4,4,3
"65",1,1,NA,NA,1,NA,3,1,4,3,4,3,5,3,3,1,NA
"66",0,NA,NA,NA,4,4,3,1,1,1,7,1,7,1,1,1,NA
"67",1,NA,NA,1,1,NA,3,3,3,3,5,3,4,4,3,3,3
"68",1,1,NA,NA,3,NA,4,3,5,4,3,4,3,4,3,2,NA
"69",1,NA,1,NA,4,NA,2,5,5,5,2,5,3,4,5,1,NA
"70",0,NA,NA,NA,4,4,3,4,3,4,4,3,4,3,3,1,NA
"71",0,NA,NA,NA,3,2,2,3,2,4,4,3,5,6,5,1,NA
"72",1,NA,NA,1,3,NA,4,4,4,7,4,4,4,4,7,3,3
"73",0,NA,NA,NA,2,2,4,4,5,4,3,5,4,4,2,1,NA
"74",0,NA,NA,NA,3,1,3,4,3,3,5,4,5,2,4,2,NA
"75",1,NA,1,NA,2,NA,4,3,5,5,4,4,4,3,3,3,2
"76",0,NA,NA,NA,1,1,4,5,4,3,3,4,4,3,3,2,NA
"77",0,NA,NA,NA,4,4,2,4,4,4,4,4,4,4,4,3,3
"78",1,1,NA,NA,1,NA,2,1,4,2,2,3,1,2,7,1,NA
"79",0,NA,NA,NA,1,1,2,3,4,3,5,3,5,3,3,2,NA
"80",0,NA,NA,NA,3,3,1,1,1,1,1,1,1,1,1,2,NA
"81",1,NA,1,NA,1,NA,3,7,5,6,2,7,1,5,7,2,NA
"82",1,NA,NA,1,1,NA,3,3,3,3,5,3,5,3,3,2,NA
"83",1,1,NA,NA,4,NA,3,2,5,1,4,3,5,1,2,3,1
"84",1,NA,1,NA,4,NA,4,3,5,4,4,5,3,4,4,2,NA
"85",0,NA,NA,NA,4,4,3,4,1,1,7,1,7,2,1,1,NA
"86",0,NA,NA,NA,4,4,2,5,3,5,5,3,5,4,3,1,NA
"87",0,NA,NA,NA,4,4,2,4,5,3,5,5,5,4,3,2,NA
"88",0,NA,NA,NA,1,1,3,3,2,2,5,3,3,4,3,3,1
"89",1,NA,NA,1,3,NA,4,3,3,4,5,3,5,3,4,3,3
"90",1,NA,NA,1,2,NA,4,3,1,4,7,4,4,5,2,1,NA
"91",1,1,NA,NA,2,NA,3,5,7,5,1,7,7,6,5,1,NA
"92",1,NA,1,NA,3,NA,4,3,4,3,4,3,5,3,3,4,2
"93",0,NA,NA,NA,3,3,3,4,4,4,4,3,4,4,4,2,NA
"94",1,NA,1,NA,4,NA,2,4,4,4,5,5,5,6,5,2,NA
"95",0,NA,NA,NA,4,4,2,1,1,1,7,2,4,1,2,1,NA
"96",0,NA,NA,NA,1,2,4,5,5,4,1,3,5,7,2,1,NA
"97",1,1,NA,NA,4,NA,4,6,5,5,5,4,5,2,6,3,1
"98",0,NA,NA,NA,2,2,4,3,3,4,4,3,6,4,3,1,NA
"99",0,NA,NA,NA,3,3,3,2,2,1,6,2,4,4,4,2,NA
"100",1,1,NA,NA,4,NA,2,7,7,7,1,6,2,4,5,1,NA
"101",0,NA,NA,NA,4,1,3,4,4,1,4,4,4,4,4,2,NA
"102",0,NA,NA,NA,3,3,4,2,1,1,5,1,5,5,1,1,NA
"103",1,1,NA,NA,2,NA,2,7,7,7,1,7,1,7,7,1,NA
"104",1,NA,1,NA,4,NA,3,3,3,3,3,3,4,3,3,3,3
"105",1,NA,NA,1,1,NA,4,4,3,3,5,4,3,5,4,1,NA
"106",1,NA,NA,1,2,NA,4,4,3,4,4,4,4,3,3,3,3
"107",0,NA,NA,NA,4,4,3,3,1,2,4,2,5,3,4,1,NA
"108",1,NA,1,NA,2,NA,4,5,3,6,2,5,1,6,4,1,NA
"109",1,NA,NA,1,1,NA,4,4,1,1,4,4,4,4,4,3,1
"110",0,NA,NA,NA,3,1,4,3,3,3,5,3,3,3,3,3,1
"111",0,NA,NA,NA,1,1,1,5,3,5,5,5,3,5,3,2,NA
"112",1,1,NA,NA,1,NA,2,3,4,4,4,3,3,4,4,1,NA
"113",0,NA,NA,NA,2,3,2,2,2,2,2,1,2,2,2,1,NA
"114",0,NA,NA,NA,4,4,2,7,5,7,1,5,4,6,5,2,NA
"115",1,NA,NA,1,3,NA,2,5,4,5,4,3,5,3,3,1,NA
"116",1,1,NA,NA,4,NA,2,5,5,5,4,3,5,3,4,1,NA
"117",0,NA,NA,NA,4,4,3,3,2,3,6,3,5,4,3,3,3
"118",0,NA,NA,NA,4,4,3,4,4,4,4,4,4,4,4,3,3
"119",1,NA,NA,1,2,NA,4,4,3,3,5,4,4,4,4,1,NA
"120",0,NA,NA,NA,4,4,2,3,2,1,7,4,5,4,4,4,3
"121",0,NA,NA,NA,4,4,2,2,1,2,6,3,3,2,4,1,NA
"122",0,NA,NA,NA,1,3,4,4,2,4,6,4,3,4,4,1,NA
"123",1,NA,1,NA,4,NA,4,4,4,4,4,4,4,4,4,4,3
"124",0,NA,NA,NA,4,4,4,3,3,3,5,3,5,3,3,3,3
"125",0,NA,NA,NA,1,1,2,2,4,2,3,3,3,3,1,2,NA
"126",1,1,NA,NA,3,NA,3,4,5,4,3,5,3,3,3,3,3
"127",0,NA,NA,NA,4,4,2,4,4,4,4,4,4,4,4,2,NA
"128",0,NA,NA,NA,3,3,4,3,3,3,5,3,4,3,3,1,NA
"129",1,NA,1,NA,3,NA,3,3,5,3,2,5,4,3,4,1,NA
"130",0,NA,NA,NA,3,3,4,4,4,4,4,4,4,4,4,4,3
"131",0,NA,NA,NA,2,2,4,3,4,2,4,5,3,2,3,1,NA
"132",1,NA,NA,1,1,NA,2,2,2,2,6,3,6,1,2,1,NA
"133",0,NA,NA,NA,3,3,4,2,2,4,4,3,4,4,2,2,NA
"134",1,NA,1,NA,3,NA,2,3,5,3,3,4,5,3,1,1,NA
"135",1,1,NA,NA,2,NA,4,5,6,6,2,6,2,4,6,1,NA
"136",1,NA,1,NA,4,NA,2,3,4,3,4,3,5,2,4,3,2
"137",1,1,NA,NA,4,NA,1,4,4,4,4,4,4,3,4,3,1
"138",0,NA,NA,NA,1,1,2,4,3,4,4,5,3,2,4,2,NA
"139",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",1,1,NA,NA,4,NA,3,4,5,5,3,5,3,3,3,2,NA
"141",0,NA,NA,NA,2,2,2,1,1,1,7,1,4,1,1,1,NA
"142",1,NA,1,NA,4,NA,4,1,4,2,3,5,5,2,2,1,NA
"143",0,NA,NA,NA,2,2,1,1,2,1,3,1,3,1,1,1,NA
"144",1,1,NA,NA,4,NA,2,2,2,3,3,5,4,2,2,2,NA
"145",1,NA,NA,1,1,NA,3,2,1,4,7,4,5,4,2,1,NA
"146",1,NA,1,NA,4,NA,2,4,3,3,3,5,3,3,4,2,NA
"147",0,NA,NA,NA,2,2,2,3,3,3,3,3,5,2,1,2,NA
"148",0,NA,NA,NA,4,4,3,3,2,3,4,4,5,1,3,3,2
"149",1,NA,NA,1,1,NA,3,4,3,4,4,3,4,4,4,3,1
"150",0,NA,NA,NA,4,4,3,3,3,3,4,3,2,4,4,2,NA
"151",1,1,NA,NA,3,NA,4,4,4,4,4,4,4,4,4,1,NA
"152",1,NA,1,NA,2,NA,2,1,2,2,3,2,6,1,7,1,NA
"153",0,NA,NA,NA,1,4,2,1,2,2,2,1,1,2,1,1,NA
"154",0,NA,NA,NA,3,3,2,2,4,4,3,3,3,3,3,3,2
"155",0,NA,NA,NA,2,2,1,3,4,4,2,2,3,2,2,1,NA
"156",0,NA,NA,NA,2,2,3,1,4,1,5,1,5,1,1,1,NA
"157",1,NA,1,NA,2,NA,1,1,1,1,1,1,7,1,1,1,NA
"158",1,NA,NA,1,1,NA,1,1,2,1,7,1,7,1,1,3,1
"159",1,NA,NA,1,4,NA,4,4,4,3,4,4,4,4,4,4,3
"160",1,1,NA,NA,1,NA,4,4,4,4,4,4,4,4,4,1,NA
"161",0,NA,NA,NA,4,4,1,1,5,1,6,2,4,2,1,1,NA
"162",0,NA,NA,NA,4,4,4,4,3,2,4,3,4,3,2,2,NA
